wave,condition,measurement,n,n_se,prop,ymax,ymin
W19,Für die österr. Bevölkerung,sehr groß,198.63285237550735,15.433915753426989,0.12413215695391674,0.12717714593185797,0.1210871679759755
W19,Für die österr. Bevölkerung,groß,539.3594150692225,27.61313318215207,0.33706331437750137,0.3384619532785553,0.3356646754764474
W19,Für die österr. Bevölkerung,mittelmäßig,581.3998370468616,27.67127064706259,0.36333574714442207,0.3646294832417767,0.36204201104706746
W19,Für die österr. Bevölkerung,klein,190.76398669183254,15.634647490142848,0.11921464578487484,0.12233924681975417,0.11609004474999551
W19,Für die österr. Bevölkerung,sehr klein,90.01631578803062,11.146395393765024,0.05625413573928501,0.061127929270032334,0.05138034220853769
W20,Für die österr. Bevölkerung,sehr groß,144.61096060276031,13.027128011255165,0.09278876227015474,0.09653427236919417,0.08904325217111532
W20,Für die österr. Bevölkerung,groß,493.6282531917095,25.7578843485457,0.3167336310077937,0.31826046984074663,0.3152067921748408
W20,Für die österr. Bevölkerung,mittelmäßig,605.0960421264172,28.481048490026588,0.3882562744169196,0.3894909717901084,0.38702157704373086
W20,Für die österr. Bevölkerung,klein,212.7394849061966,17.21274936043333,0.13650302444681678,0.13944229745002806,0.1335637514436055
W20,Für die österr. Bevölkerung,sehr klein,102.42175233364105,11.264918447626258,0.06571830785831514,0.07030167761102404,0.061134938105606246
W21,Für die österr. Bevölkerung,sehr groß,162.05247846245766,14.777591526531198,0.10443906391114251,0.10793953923630817,0.10093858858597685
W21,Für die österr. Bevölkerung,groß,506.24635207653046,26.62027501317372,0.3262640326204713,0.3277539716514118,0.32477409358953085
W21,Für die österr. Bevölkerung,mittelmäßig,579.6073008924723,27.125299379671866,0.3735434626832777,0.37483820618447855,0.37224871918207686
W21,Für die österr. Bevölkerung,klein,192.72901132702827,16.769425256256955,0.12420937786630597,0.12734834278182353,0.1210704129507884
W21,Für die österr. Bevölkerung,sehr klein,111.01107460260391,13.104553320554713,0.0715440629188025,0.07592874250225608,0.06715938333534892
W22,Für die österr. Bevölkerung,sehr groß,114.78660136461258,11.70639369642854,0.0759376732709105,0.0802857257970313,0.0715896207447897
W22,Für die österr. Bevölkerung,groß,444.85703863203526,25.21755295715235,0.29429748812406886,0.29598423745214447,0.29261073879599325
W22,Für die österr. Bevölkerung,mittelmäßig,624.8982269763947,28.43859915079281,0.41340467287616767,0.4145876410715757,0.41222170468075964
W22,Für die österr. Bevölkerung,klein,210.8066695779562,17.752988772256657,0.13946024890910974,0.14244816143422337,0.1364723363839961
W22,Für die österr. Bevölkerung,sehr klein,116.24111875891685,13.795106025487916,0.07689991681974323,0.08121618097180244,0.07258365266768402
W23,Für die österr. Bevölkerung,sehr groß,56.79057502746582,7.865496559076932,0.03841808841215099,0.044922888684682305,0.031913288139619675
W23,Für die österr. Bevölkerung,groß,272.160628721118,19.786162575502154,0.18411314010216823,0.18663431574711292,0.18159196445722353
W23,Für die österr. Bevölkerung,mittelmäßig,698.0253776609898,30.76294306459875,0.47220512664179737,0.4732235195713385,0.4711867337122562
W23,Für die österr. Bevölkerung,klein,309.2319347411394,20.616691401524168,0.2091913984494784,0.2114839284610901,0.2068988684378667
W23,Für die österr. Bevölkerung,sehr klein,142.01638713479042,14.907232394480603,0.09607224639440502,0.09993903388526176,0.09220545890354828
W24,Für die österr. Bevölkerung,sehr groß,59.72490054368973,8.035470834592763,0.040150499284820985,0.04646224152201732,0.03383875704762465
W24,Für die österr. Bevölkerung,groß,251.94338735938072,18.11389153253725,0.16937077670959752,0.17203015153499807,0.16671140188419697
W24,Für die österr. Bevölkerung,mittelmäßig,641.0509093552828,29.299664732914135,0.43095114170638066,0.432093302175565,0.4298089812371963
W24,Für die österr. Bevölkerung,klein,370.8347260951996,23.842517555572133,0.24929634489688948,0.2512774255705568,0.24731526422322217
W24,Für die österr. Bevölkerung,sehr klein,163.9718012958765,14.545283913944392,0.11023123740231137,0.11376238930044412,0.10670008550417863
